"447","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","reproductrice chez la femme. N Noyau : structure dense, de forme variable, située en général au centre de la cellule et limité par une membrane. Le noyau contient les chromosomes. O Oncogénéticien : médecin spécialiste de l'étude des gènes à l'origine d'un cancer. Oncologie","Oui","2CT","FR/Cancer du sein/Vulgarisation/page22","noyau contient les","chromosomes","noyau"
"448","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","sous forme de suppositoire (voie rectale) ou être donnés par perfusion (voie intraveineuse). Le médecin peut prescrire un seul médicament antiémétique ou plusieurs. Des médicaments contenant de la cortisone peuvent être proposés comme antiémétiques. Sur une période courte, ces médicaments ne provoquent pas de prise de","Oui","2 CT. Pprésent","FR/Cancer du sein/Vulgarisation/page23","médicaments contenant de la","cortisone","médicaments"
"449","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","sel, dedeux cuillères à soupe de bicarbonate de soude et d'un litre d'eau de Vichy est très adapté). Les bains de bouche vendus dans le commerce contiennent de l' alcool qui dessèche la muqueuse de labouche et risquent de provoquer des sensations de brûlure ; -se brosser les dents","Oui","2 CT","FR/Cancer du sein/Vulgarisation/page23","commerce contiennent de l'","cortisone","bains de bouche"
"450","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","ulcérations de la langue ou de la gorge, de 44 mucite, de mycoses et parfois, de douleurs ou d'une altération du goût. Des bains de bouches contenant un anesthésique local peuvent soulager. La baisse prolongée du nombre de globules blancs, de globules rouges et de plaquettes","Oui","2 CT. pprésent","FR/Cancer du sein/Vulgarisation/page23","bouches contenant un","anesthésique local","bains de bouche"
"451","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","(résonner) les molécules d'eau contenues dans votre corps. Le terme de magnétique signifie qu'un aimant est utilisé pour la création des images. Kyste. Anomalie contenant une substance liquide. Il s'agit la plupart du temps d'une anomalie bénigne. Mammographie. Technique d'imagerie","Oui","2 CT. Pprésent","FR/Cancer du sein/Vulgarisation/page37","Anomalie contenant une","substance liquide","anomalie"
"452","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","(résonner) les molécules d'eau contenues dans votre corps. Le terme de magnétique signifie qu'un aimant est utilisé pour la création des images. Kyste. Anomalie contenant une substance liquide. Il s'agit la plupart du temps d'une anomalie bénigne. Mammographie. Technique d'imagerie","Oui","2 CT. Pprésent","FR/Cancer du sein/Vulgarisation/page39","Anomalie contenant une","substance liquide","anomalie"
"453","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","est le premier pas de la procédure de traitement. Dans ce cas, le chirurgien réalise la biopsie avec comme but d’enlever la lésion entière (anomalie du sein contenant une grosseur ou zone contenant des calcifications) y compris une marge de tissu du sein ayant une apparence normale.","Oui","2 CT. Pprésent","FR/Cancer du sein/Vulgarisation/page52","sein contenant une","grosseur","anomalie du sein"
"454","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","est le premier pas de la procédure de traitement. Dans ce cas, le chirurgien réalise la biopsie avec comme but d’enlever la lésion entière (anomalie du sein contenant une grosseur ou zone contenant des calcifications) y compris une marge de tissu du sein ayant une apparence normale.","Oui","2 CT. Pprésent","FR/Cancer du sein/Vulgarisation/page52","zone contenant des","calcifications","zone"
"455","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","1976). On reconnaît dans la « cendre » du 30 août 76, des fragments d’andésite à orthopyro-xène dominant sur la dinopyroxène et l’olivine. Certaines mésostases contiennent parfois un peu de verre frais, ce qui est tout à fait habituel dans les laves connues par ailleurs dans le","Oui","2 CT. ","FR/Volcan/Scientifique/12","mésostases contiennent parfois un","verre ","mésostases"
"456","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","à mercurede type Sprengel. Ce tube a une longueur suffisante pour que la partie la plus éloignée du four puisse contenir, sans élévation notable de température, une nacelle contenant de l’ anhydride phisphorique destiné à retenir l’eau et une autre nacelle garnie de phosphate d’argent pour fixer l’acide","Oui","2 CT. Pprésent","FR/Volcan/Scientifique/14","nacelle contenant de l’","anhydride phisphorique","nacelle"
"457","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","retombées pliniennes) ont produit des ponces dont la chimie - compte tenu de la teneur en eau - n’est pas réellement différente de celle des dômes. Ces projections renferment les mêmes minéraux (NE 5 : 12 % pl, 4, 5 % amph, opx = 1 %","Oui","2 CT","FR/Volcan/Scientifique/22","projections renferment les","minéraux","projections "
"458","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","des barboteurs (4), on disposait habituellement de 6 à 10 barboteurs contenant 30 ml d’eau qui piégaient les métaux. Les barboteurs étaient disposés dans un récipient contenant de la neige. On y condensait de la vapeur d’eau ainsi que la partie « acide » du mélange gazeux","Plutôt non","pas des termes, pas du LST. Pas vraiment pertinent","FR/Volcan/Scientifique/34","récipient contenant de la","neige","récipient"
"459","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","vitesse permettant de compter les bulles de gaz. Après l’absorption de la « partie acide du mélange gazeux » la partie neutre était transférée dans un collecteur de gaz contenant une solution saturée sous acidifiée de chlorure de sodium (9) le refoulement se faisant à l’aide de la","Plutôt oui","collecteur de gaz : pas un CT. Solution : LST ?","FR/Volcan/Scientifique/34","gaz contenant une","solution d'acétate de cadmium","collecteur de gaz"
"460","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","ml près. Pour des prélèvements successifs à des intervalles compris entre 1 et 3 minutes on utilisait un système de prélèvement simplifié muni de 3 barboteurs et d’un barboteur contenant une solution d’acétate de cadmium. On prélevait 200 cm3 de gaz. On préparait à l’avance 8 à","Plutôt oui","1 CT : barboteur","FR/Volcan/Scientifique/34","barboteur contenant une","solution d'acétate de cadmium","barboteur"
"461","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","1950 ; EICHELBERGER, 1978 ; SEMET et al, 1982). En résumé, la teneur en anorthite augmente régulièrement des ponces daires aux scories noires. Ces dernières renferment les phênocristaux les plus caldques (An 80 à An 96). De plus, il faut noter que dans","Oui","anaphore. Ces dernières = ""scories noires"" = CT","FR/Volcan/Scientifique/38","dernières renferment les","phénocristaux","scories noires"
"462","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","passait on le voit par un lien personnel d'alliance. On retrouve également cette superposition de cultes dans la région minière du Collasuyu, où les sommets des riches montagnes contenant les mines d'argent comme Porco, Chaqui ou Potosi, un très ancien volcan, étaient consacrés au Soleil,","Plutôt non","pas des CT. Pas vraiment pertinent","FR/Volcan/Scientifique/autre3","montagnes contenant les","mines d'argent","riches montagnes"
"463","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","produits les plus basiques. Les termes acides apparaissent bien différents. Il s'agit de trachytes à biotite et amphibole et de rhyolites à biotite et aegyrine. Ces laves contiennent essentiellement de la sanidine, de l'anorthose et du quartz. Elles se subdivisent en comendites, riches en Al2O3 et pauvres","Oui","CT","FR/Volcan/Scientifique/bard3","laves contiennent essentiellement de la","sanidine, anorthose, quartz","laves"
"464","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","Noun, Ligne du Cameroun. Résumé. Trois familles de roches volcaniques sont décrites sur la rive ouest du Noun : picrite, basalte alcalin, hawaiite. Ces laves contiennent de l’ olivine, du clinopyroxène, du plagioclase et des oxydes de Fe-Ti en phénocristaux et en microlites et parfois de","Oui","CT","FR/Volcan/Scientifique/bard5","laves contiennent de l’","olivine, clinopyroxène, plagioclase","laves"
"465","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","depuis la cote + 5 jusqu'à 7 m sous la limite Crétacé / Paléogène et nous les tenons à la disposition des spécialistes pour une étude taxonimique. Les résidus renferment enfin une variété de restes problématiques dont deux exemples particulièrement curieux sont décrits en annexe. 3. Autres sections du faciès","Plutôt non","1 CT : résidu. Mais autre éléments du triplet pas un terme, et très flou","FR/Volcan/Scientifique/carnet/geologie1","résidus renferment enfin une","restes problématiques","résidus"
"466","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","Fig. 3). L'hypothèse a été faite d'une origine hydrothermale de cette kaolinite. En effet, l'étude des bentonites anciennes a montré que ces lits renfermaient parfois une concentration remarquable en kaolinite laquelle peut signer, dans le niveau sédimentaire, une arrivée de matériel volcanique explosif (","Oui","lit = CT.","FR/Volcan/Scientifique/carnet/geologie1","lits renfermaient parfois une","concentration en kaolinite","lits"
"467","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","de tufs montrent de nombreuses failles listriques à la faveur desquelles des panneaux de pyroclastites peuvent se détacher et s'effondrer dans le lac. C'est le cas des édifices abritant les lacs Ngaoundaba et Marboui, où de grands panneaux de pyroclastites peuvent s'effondrer à tout moment ou à la","Oui","CT","FR/Volcan/Scientifique/geo11","édifices abritant les","lac Ngaoubada et Marboui","édifices"
"468","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","et de matière se produisent entre la chambre magmatique et l’extérieur. Notre premier modèle en « boîte » de la figure 3 doit être élargi à une deuxième boîte englobant la première (fig. 5). La chambre magmatique apparaît alors comme un système ouvert entre le manteau et","Plutôt non","explication de test. Boite = pas un CT, ni LST","FR/Volcan/Scientifique/geo3","boîte englobant la","",""
"469","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","subduction se réchauffe progressivement en plongeant dans le manteau supérieur située sous l’arc, formant ainsi un coin asthénosphérique. Cette croûte plongeante qui incorpore des sédiments et des basaltes contenant une certaine proportion d’eau, se déshydrate d’abord, en libérant son eau (eau de mer),","Oui","CT. pprésent","FR/Volcan/Scientifique/geo5","basaltes contenant une","proportion d'eau","sédeiments et basaltes"
"470","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","bas de la paroi du cratère. Leur extension (3, 5 km) est inférieure à celle des dépôts de coulées de ponces. La matrice de ces dépôts contient une fraction boueuse, indiquant l’incorporation d’eau libre au niveau du conduit ou de l’évent. En cela","Oui ","CT","FR/Volcan/Scientifique/geomateriaux1","dépôts contient une","fraction boueuse","matrice de ces dépôts"
"471","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","les couches de cendres ocre (dépôt n° 3) et le dépôt n° 6. Son épaisseur et la taille de ses grains augmentent en direction des vallées contenant les ignimbrites canalisées. Il s'agit probablement d'une retombée de cendre co-ignimbritique. Un dépôt gris constitué de cristaux","Oui","2 CT. Pprésent","FR/Volcan/Scientifique/geomateriaux2","vallées contenant les","ignimbrites canalisées","vallées"
"472","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","16 avril 2005 : l’entrée en contact du magma présent sous le volcan avec les eaux du lac provoque sa vaporisation brutale, qui engendre une explosion ; le cratère abrite ensuite un lac de lave durant quelques dizaines d’heures. L’éruption dure 3 jours en tout. 2) L’","Oui","CT","FR/Volcan/Scientifique/lave3","cratère abrite ensuite un","lac de lave","cratère"
"473","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","de subduction conduit à la formation d'un arc volcanique avec la formation de strato-volcans au parc national du Tongariro et de volcans inversés à Taupo et Rotorua. Cette zone abrite un hydrothermalisme très actif. Le point chaud, quant à lui, a alimenté un volcanisme intra-plaque, particulièrement visible","Oui","CT","FR/Volcan/Scientifique/lave7","zone abrite un","hydrothermalisme","zone"
"474","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","surtseyen de Maguelone. 3. 2. Contexte chrono-stratigraphique et tectonique du volcanisme de Maguelone 3. 2. 1. Le contexte sédimentaire des éjectas volcaniques Tous les affleurements contenant les marqueurs pétrographiques du volcanisme de Maguelone, appartiennent, sans exclusion, à la trilogie classique des faciès pliocènes (","Oui","CT. pprésent","FR/Volcan/Scientifique/volcanismePliocene2","affleurements contenant les","marqueurs pétrographiques","affleurements"
"475","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","varier pour un même appareil : en 1772 le grand geyser d'Islande avait une période d'une demi-heure. Un siècle après elle était de vingt jours. L' eau contient généralement une forte proportion de silice, de carbonate de sodium, de chlorures et sulfates de K, Mg, Na","Oui","CT","FR/Volcan/Vulgarisation/corpusFR","eau contient généralement une","proportion de silice","eau"
"476","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","le plus dangereux comme en témoigne son éruption de 1968. L'Irazu (3 432 m) a saupoudré de cendres la ville de Carthagène en 1963. Son cratère contient maintenant un lac d'acide comme celui du Poas (2 704 m). Seuls le Honduras (2 volcans)","Oui","CT","FR/Volcan/Vulgarisation/corpusFR","cratère contient maintenant un","lac d'acide","cratère"
"477","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu",", plusieurs années après, sur le "" Spirit Lake "". Plus au sud on trouve Crater Lake (2 487 m ; une caldeira de 10 km de diamètre renfermant un superbe lac) dans l'Oregon puis Lassen Peak (3 186 m) en Californie (dernière éruption importante","Oui","CT. pprésent","FR/Volcan/Vulgarisation/corpusFR","diamètre renfermant un","lac","caldeira"
"478","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","- Océanie et Antarctique. On remarque que la plaque Pacifique est essentiellement océanique, la plaque Eurasie majoritairement continentale et les autres plaques mixtes (la plaque Amérique du Nord contient aussi une partie de l'Atlantique Nord). D'autres plaques, de surface moindre, complètent ce puzzle gigantesque,","Oui","plaque Amérique du Nord = CT. Partie de l'Atlantique Nord =  ?","FR/Volcan/Vulgarisation/corpusFR","Nord contient aussi une","partie de l'atlantiquenord","plaque amérique Nord"
"479","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","Poas, l'Irazu et le Turrialba. Je visite l'Irazu, qui a recouvert de cendres la ville de Carthagène en 1963 puis le Poas, dont le cratère renferme un lac d'acide. Mais l'Arenal, bien que de taille relativement modeste, apparaît de loin le plus","Oui","CT","FR/Volcan/Vulgarisation/corpusFR","cratère renferme un","lac d'acide","cratère"
"480","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","des nuages de fumée. Ils nous expliquent par signe de les suivre et nous traversons avec eux le rideau de flamme. Le petit cône du Pu'u O' o renferme un lac de lave, phénomène exceptionnel dans le monde. On n'en connaît en effet que quelques-uns, presque","Oui","CT","FR/Volcan/Vulgarisation/corpusFR","o renferme un","lac de lave","petit cône Pu'u'O'o"
"481","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu",". Volcan Daphné Mayor, 120 m, point chaud, archipel des Galápagos, Equateur. L'île volcanique Daphné Mayor appartient à l'archipel des Galápagos. Son cratère abrite une importante population d'oiseaux marins. Au loin, le rocher de l'île Daphné Minor. Surgies des profondeurs","Oui","CT","FR/Volcan/Vulgarisation/corpusFR","cratère abrite une","population d'oiseaux marins","cratère"
"482","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu",". La religion catholique n'y est pas exempte de pratiques superstitieuses visant à conjurer leurs menaces. A proximité du célèbre Vésuve, le Duomo de Naples abrite deux ampoules contenant le sang de San Gennaro (Saint Janvier), martyre décapité au IVè siècle, aujourd'hui protecteur de la","Non ","pas pertinent","FR/Volcan/Vulgarisation/corpusFR","ampoules contenant le","",""
"483","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","oriental. Son cône symétrique se trouve dans un massif volcanique situé à l'intérieur de la caldera du Karymsky, effondrée il y a 77 000 ans. Cette caldera abrite en outre un grand lac de cratère, le Karymskoye, formé au cours d'une éruption explosive particulièrement violente. A la","Oui","CT","FR/Volcan/Vulgarisation/corpusFR","caldera abrite en outre un","lac de cratère","caldera"
"484","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","Réunion, la Polynésie, les Canaries...). 11s déterminent la quantité relative des isotopes présents dans ces roches pour en connaître la provenance. Chaque étage du globe contient en effet un cocktail d'isotopes qui lui est propre, et qui constitue en quelque sorte sa "" signature isotopique "".","Plutôt non","trop vulgarisé ? Pas des termes du domaine. Pertinent ?","FR/Volcan/Vulgarisation/corpusFR","globe contient en effet un","",""
"485","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","température et la pression auxquelles furent soumises les inclusions vitreuses pendant leur formation. Pour déterminer la température de cristallisation des minéraux, il suffit de repérer une inclusion de verre contenant une bulle. La présence de celle-ci s'explique par le fait que la goutte de verre possède un coefficient de","Oui","CT. pprésent","FR/Volcan/Vulgarisation/corpusFR","verre contenant une","bulle","inclusion de verre"
"486","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","On sait, en effet, que les poussières volcaniques entraînées par les courants stratosphériques vers le pôle se déposent graduellement avec la neige, formant des couches contenant de l' acide sulfurique. Ce sont les seules traces de telles retombées. Celles-ci ont donc été datées de 150 ans","Oui","CT. pprésent","FR/Volcan/Vulgarisation/corpusFR","couches contenant de l'","acide sulfurique","couches"
"487","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","en élevant des murs de corail sur les rivages. Mais ces barrières dérisoires n'ont pas empêché les plages de disparaître. Bien que situé en Mélanésie, l' atoll abrite une population polynésienne. Venus des îles Samoa américaines, les Takuu l'ont troqué en 1896 contre quatre haches et","Plutôt non","pas très pertinent","FR/Volcan/Vulgarisation/corpusFR","atoll abrite une","",""
"488","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","fusion. L'ampleur du tout évoque le lointain passé de la Terre. Trois volcans se distinguent des autres par leur puissance, Pele, Loki et Prometheus. Pele abrite un point chaud très stable. On pense qu'il s'agit d'un lac de lave dont le contenu se","Oui","Ct","FR/Volcan/Vulgarisation/corpusFR","Pele abrite un","point chaud","Pele "
"489","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","a fait naître de grands espoirs, mais elle a ses limites. Les Indonésiens auraient-ils raison contre toute apparence ? Leur peuple reste persuadé que les montagnes fumantes des îles abritent les divinités du Bien, alors qu'il a payé un très lourd tribut aux éruptions volcaniques, avec des dizaines","Plutôt oui","2 CT mais est-ce pertinent ?","FR/Volcan/Vulgarisation/corpusFR","îles abritent les","",""
"490","X {renfermer/contenir/englober/emprisonner/loger/incorporer/abriter}  DET  Y  ","Expression du lieu","Expression du lieu","présentant pour l'homme les plus graves dangers, je connaissais surtout des volcans gris, à cendres. Ce volcan rouge, à laves, me fascinait. Le Kilauea abrite fréquement un lac de lave, phénomène exceptionnel sur la planète Terre, qui n'en compte que quatre. En effet","Oui","CT","FR/Volcan/Vulgarisation/corpusFR","Kilauea abrite fréquement un","lac de lave","Kilauea"
"491","Y  {entourer/délimiter/circonscrire}  DET  X","Expression du lieu","Expression du lieu","son extension à la peau ou à la paroi du thorax sous le sein. Par exemple, les tumeurs classifiées T4 sont les plus importantes et sont étendues aux tissus entourant la glande du sein. 4 La lettre N (ganglion ou Node en anglais) suivie d'un chiffre allant","Oui","","FR/Cancer du sein/Vulgarisation/page55","tissus entourant la","tissus","glande du sein"
"492","Y  {entourer/délimiter/circonscrire}  DET  X","Expression du lieu","Expression du lieu","roche originnelle se mêlent des minéraux de néogenèse. - Des oxydes de fer (geothite, hématite) remplacent souvent les péridots ou les pyroxènes et une auréole de fer entoure la plupart des minéraux résiduels, - Les verres fumerollisés prennent un aspect fluidal, se dévitrifient et récristallisent en calcédoine","Oui","","FR/Volcan/Scientifique/23","fer entoure la","auréole de fer","minéraux résiduels"
"493","Y  {entourer/délimiter/circonscrire}  DET  X","Expression du lieu","Expression du lieu","essentiellement caractérisées par les proportions du cratère, depuis le cône bien formé au sommet duquel s’ouvre la dépression cratérique (Iles du Diable à Djibouti) à l’ anneau entourant une large dépression (Açores). L’ile de Nisida et le cap Misène, édifiés par des éruptions subaquatiques","Oui","","FR/Volcan/Scientifique/36","anneau entourant une","anneau","dépression"
"494","Y  {entourer/délimiter/circonscrire}  DET  X","Expression du lieu","Expression du lieu","proches du cône, ainsi que de débris lithi-ques (5 à 10 %), de taille centimétrique. Une partie de ces débris correspond à l’éclatement des écorces entourant les bombes. Il n’y a pas de classement, bien que les xénolites d’andésites soient généralement plus abondants","Oui","","FR/Volcan/Scientifique/44","écorces entourant les","écorces","bombe"
"495","Y  {entourer/délimiter/circonscrire}  DET  X","Expression du lieu","Expression du lieu","E2 à affinité transitionnelle, 5 : basaltes alcalins récents, 6 : failles, 7 : failles supposées. Les échantillons sont localisés (les symboles des fonds des cercles entourant les numéros correspondent aux natures des roches). Figure 2. Répartition des clinopyroxènes des basaltes (et hawaiites de","Plutôt non","pas pertinent du tout","FR/Volcan/Scientifique/bard2","cercles entourant les","",""
"496","Y  {entourer/délimiter/circonscrire}  DET  X","Expression du lieu","Expression du lieu","2008 mais déjà attribué à un spongiaire. Dans la section type de la Grande Carrière, l'apparition de L. aubouini suivie de la disparition de T. hunzikeri délimitent un court intervalle de coexistence entre les cotes 47, 20 et 50, 25 (environ de 0, 12","Plutôt non","","FR/Volcan/Scientifique/carnet/geologie1","hunzikeri délimitent un","",""
"497","Y  {entourer/délimiter/circonscrire}  DET  X","Expression du lieu","Expression du lieu","soudées intercalées entre les projections de maar attestent de brefs épisodes stromboliens, purement magmatiques, développés lorsque la nappe phréatique était momentanément épuisée. La forte épaisseur de certains anneaux entourant les cratères serait ainsi liée à l'interstrafificafion de projections hydromagmatiques et de produits stromboliens. Des enclaves ultrabasiques (péridotites","Oui","","FR/Volcan/Scientifique/geo11","anneaux entourant les","anneaux","cratères"
"498","Y  {entourer/délimiter/circonscrire}  DET  X","Expression du lieu","Expression du lieu","transitionnelle, (5) basaltes alcalins récents, (6) failles, (7) failles supposées. Les échantillons sont localisés (les symboles des fonds des cercles entourant les numéros correspondent aux natures des roches). 3. Pétrographie et minéralogie des deux séries à affinité transitionnelle (","Non","pas pertinent du tout","FR/Volcan/Scientifique/geomateriaux4","cercles entourant les","",""
"499","Y  {entourer/délimiter/circonscrire}  DET  X","Expression du lieu","Expression du lieu",". Le lobe des retombées de l’éruption récente du Sabancaya (1990-1998) est représenté par deux isopaques. Dans le coin inférieur droit de la figure, le rectangle délimite la tourbière, dont les sites étudiés sont représentés en détail à la figure 2B. 3 - ACTIVITÉ VOLCANIQUE RÉGIONALE","Plutôt non","1 CT mais rectangle = ni CT, ni LST. Pas pertinent. Déscription d'un schéma","FR/Volcan/Scientifique/quat1","rectangle délimite la","",""
"500","Y  {entourer/délimiter/circonscrire}  DET  X","Expression du lieu","Expression du lieu","vallées divergent à partir d’une ligne de crêtes, hémicirculaire, dont l’altitude varie de 770 à 1207 m au niveau des pics qui la ponctuent. Ces crêtes circonscrivent partiellement une vaste caldeira d’effondrement (4 km du nord au sud, 6 km d’est en ouest).","Oui","CT","FR/Volcan/Scientifique/tectnophysic1","crêtes circonscrivent partiellement une","crêtes","caldeira"
"501","Y  {entourer/délimiter/circonscrire}  DET  X","Expression du lieu","Expression du lieu","approche d'un cratère qui explose, il se protège parfois des retombées de blocs en coiffant un heaume "" antichoc "". Cette sorte de cloche en fibre de verre entoure la tête, sans la toucher, et repose sur les épaules. Elle évite que le crâne ou la nuque","Plutôt non","peu pertinent","FR/Volcan/Vulgarisation/corpusFR","verre entoure la","",""
"502","Y  {entourer/délimiter/circonscrire}  DET  X","Expression du lieu","Expression du lieu","et les deux tiers de l'île s'effondrèrent à 300 mètres sous la mer, provoquant un énorme raz-de-marée. Ne resta de Santorin qu'un étroit croissant de terre entourant la plus grande caldeira sous-marine du monde. Un entonnoir de 83 kilomètres carrés noyé sous les flots, où le","Oui","imagé. 1 CT","FR/Volcan/Vulgarisation/corpusFR","terre entourant la","croissant de terre","caldeira"
"503","Y  {entourer/délimiter/circonscrire}  DET  X","Expression du lieu","Expression du lieu","sur place et forme comme un gros pâté hérissé de blocs, c'est un dôme. écorce-croûte (fém.), couche durcie d'environ 70 kilomètres d' épaisseur entourant le globe terrestre et sur laquelle nous vivons. C'est la coquille de la Terre. granite (masc.","Oui","CT","FR/Volcan/Vulgarisation/corpusFR","épaisseur entourant le","couche","globe terrestre"
"504"," X  être  {entouré/délimité/circonscrit}  par  DET  Y","Expression du lieu","Expression du lieu","Le deuxième comprend des phênocristaux souvent automorphes, dont le coeur, limpide ou bourré d’inclusions vitreuses est très caldque (An 92 à An 88). Il est entouré par une bordure fine plus sodique à zonage direct (An 80 à An 65). Enfin, on observe","Oui","le cœur des phénocristaux : peut être un CT ; bordure : CT","FR/Volcan/Scientifique/38","est entouré par","bordure plus fine à zonage direct","le cœur des phénocristaux"
"505"," X  être  {entouré/délimité/circonscrit}  par  DET  Y","Expression du lieu","Expression du lieu","stratovolcan de l’île Terceira. Il occupe une large zone dans la partie orientale de Terceira. 11 présente une caldeira d’effondrement aux parois très érodées, qui est délimitée au nord-est par la Serra do Cume (sommet : 545 m) et au sud-ouest par la Serra da Ribeirinha. Cette","Oui","avec un Npr : utiliser une ressource externe ?","FR/Volcan/Scientifique/lave10","est délimitée au nord-est par","Serra do Cume et Serra da Ribeirinha","caldeira d'effondrement"
"506"," X  être  {entouré/délimité/circonscrit}  par  DET  Y","Expression du lieu","Expression du lieu","Ce cratère-lac porte le nom de Laguna de la Caldera (lagune de la Chaudière), et, de fait, il a une forme si régulière, il est si bien entouré par ses falaises propres et par la ceinture secondaire de collines, que le nom semble fort bien approprié à la","Oui","CT","FR/Volcan/Scientifique/lave12","est si bien entouré par","falaises propres et ceinture secondaire de collines","cratère-lac"
"507"," X  être  {entouré/délimité/circonscrit}  par  DET  Y","Expression du lieu","Expression du lieu","°. Cette subduction se manifeste par d'innombrables failles, une activité sismique et hydrothermale importante et la présence de strato-volcans actifs qui forment un arc volcanique. Celui-ci est entouré par un bassin avant-arc asismique et une dépression arrière-arc associée à un proto-rift. On distingue deux sortes de volcans :","Oui","anaphore. CT","FR/Volcan/Scientifique/lave7","est entouré par","bassin avant-arc asismique et une dépression arrière-arc","arc volcanique"
